symbol1,symbol2,correlation
زبینا,سامان,0.8200159417285856
زبینا,غشهداب,0.7453301893352674
زبینا,غویتا,0.9201668645421205
زبینا,لکما,0.9127993787216465
زبینا,مادیرا,0.9156393506243292
زبینا,نوین,0.822733611854579
زبینا,وآرین,0.8859012306042727
زبینا,وتعاون,0.8224242532169769
زبینا,وتعاون3,0.8224242532169769
زبینا,ورازی,0.7287814614304845
زبینا,ومعلم,0.8999404599393712
زبینا,وپویا,0.7705621249483522
زبینا,کرمان,0.9237130311597939
زبینا,کیسون,0.848183687891474
زبینا,گکوثر,0.894062648014043
زقیام,زنجان,0.8339079589668239
زقیام,سامان,0.849356302241731
زقیام,غویتا,0.8475389526553324
زقیام,لکما,0.9230749973992882
زقیام,مادیرا,0.8314190943796648
زقیام,موج,0.8327487031434481
زقیام,نشان,0.789869516758365
زقیام,نوین,0.8671336331007614
زقیام,وآرین,0.8394729633345015
زقیام,وتعاون,0.8876089302383435
زقیام,وتعاون3,0.8876089302383435
زقیام,ورازی,0.7648401965048435
زقیام,ومعلم,0.8244744267277374
زقیام,وملل,0.7440080186732801
زقیام,وپویا,0.7992136438665433
زقیام,پاداش,0.7778084245811204
زقیام,کرمان,0.8593530551200498
زقیام,کیسون,0.8862937018077724
زقیام,گکوثر,0.7307354840083986
زنجان,سامان,0.8992465709785745
زنجان,لکما,0.7984714511021855
زنجان,نوین,0.9031700949876684
زنجان,وآرین,0.7990005793837517
زنجان,وتعاون,0.9067956270673388
زنجان,وتعاون3,0.9067956270673388
زنجان,ورازی,0.759044741888897
زنجان,ولشرق,0.7684055879281633
زنجان,ولشرق3,0.7684055879281633
زنجان,وملل,0.9471920054211441
زنجان,کیسون,0.8605989700451385
سامان,غویتا,0.7980528677189862
سامان,لکما,0.8595979464583676
سامان,مادیرا,0.7607960510212743
سامان,نوین,0.9593652975145524
سامان,وآرین,0.8836071172940335
سامان,وتعاون,0.8927296265630501
سامان,وتعاون3,0.8927296265630501
سامان,ورازی,0.7190626493544485
سامان,ولشرق,0.7806106741746123
سامان,ولشرق3,0.7806106741746123
سامان,ومعلم,0.8584471292098188
سامان,وملل,0.9067154451102534
سامان,وپویا,0.7868204555859485
سامان,کرمان,0.7476428398626731
سامان,کیسون,0.9437471281888739
سامان,گکوثر,0.7129280746911304
شپلی,شپلی2,1.0
غشهداب,مادیرا,0.7607539557156459
غشهداب,نوین,0.7200630169278026
غشهداب,وآرین,0.7528914642259935
غشهداب,ومعلم,0.7973043170976327
غویتا,لکما,0.9458433623721341
غویتا,مادیرا,0.9194387223253788
غویتا,نوین,0.7659211410492515
غویتا,وآرین,0.8210203494998082
غویتا,وتعاون,0.8365058176268645
غویتا,وتعاون3,0.8365058176268645
غویتا,ورازی,0.7877238869713203
غویتا,ومعلم,0.8542622322118892
غویتا,وپویا,0.9075269168829888
غویتا,کرمان,0.9190359875667922
غویتا,کیسون,0.8491536647766622
غویتا,گکوثر,0.8883338283200045
فاخر,نشان,0.9995254079296401
فاخر,پاداش,0.9998985625432502
فبیرا,مادیرا,0.7903863189986522
فبیرا,ومعلم,0.7749849042999669
لکما,مادیرا,0.9047219103641003
لکما,نوین,0.8472843730826822
لکما,وآرین,0.8833790201823652
لکما,وتعاون,0.8977042095184766
