symbol,volatility,VaR_95,VaR_99,max_drawdown,sharpe_ratio,sortino_ratio,annual_return
طلوع,0.0004837373319296385,0.0006584758092754051,0.0006305529760127948,0.0,36.05740461723272,0.0,0.27688813025696885
اصیل,0.0011058103138562405,0.0006365777812014972,8.168079481490231e-05,-0.008113417029635216,17.04418858718973,4.743103324290503,0.2991970019980968
اونیکس,0.0011629473385398204,0.0005794022864720749,0.000326535109569881,-0.0003077396522541592,16.959594454163042,0.0,0.3130947479188412
فاخر,0.0011140229847943519,0.0006337166488989077,0.0004236880115551855,-0.0007207856563655587,16.763195207096423,0.0,0.29644984266302765
آلا,0.0016271456204372775,0.0006552377392262665,0.0,-0.0009635767970706204,11.687585594917852,47.43401871380425,0.30189192486023086
نشان,0.0015295465808441147,0.0005149473591573583,0.00032746495647103526,-0.019638554216867443,11.18377996982467,1.577414532706303,0.27155111607551446
بمان,0.0021385676062673337,0.0006293437267838708,0.0,-0.0038095238095238143,9.460468483589064,0.0,0.32117068482184086
خورشید,0.0022068619401002035,0.0005797461328348241,0.00038855018462749855,-0.002268645429624688,9.099681169931923,13.665811516691502,0.3187877402511161
اوصتا,0.0020670619494134517,-0.0006747638326585204,-0.00499108870003695,-0.020966767371601018,7.57594964176395,5.66865867800701,0.2485941143168833
پایش,0.003027131287416571,0.0006777166652478961,3.671007779040272e-05,0.0,7.31283384731736,0.0,0.3514125223883598
یارا,0.0024487071709840234,0.00048585823387206075,-0.00042895731595188227,-0.03051623294057812,7.224504652897441,1.7812978538680084,0.28083109837562203
پاداش,0.002075733642525569,0.0004954910316123939,-0.006026598715398881,-0.02778857364943641,6.594095132915684,1.783472443898468,0.21728367749113356
دامون,0.003195458012113854,0.0006650304495272596,8.909126905563077e-06,-0.039381423494381514,5.167982210180077,1.7904471581470598,0.2621527366607067
آتی1,0.3499205142403995,0.0,0.0,0.0,4.996820612274266,0.0,27.75641886592902
دزاگرس,0.030735450300411644,-0.029245689655172418,-0.03103796376186368,-0.2388888888888889,4.884974851208153,16.176022519223295,2.383428800532851
خیمن,0.03206275681835158,-0.0298227877453566,-0.030862840017197607,-0.17487007031488797,4.394697792767356,15.262897678743464,2.2368154154457724
گارانتی,0.009921594949074396,-0.0010402654280026453,-0.02616970113363108,-0.05605856289732221,3.497866209353976,2.1525377424470844,0.550915456772317
پشاهن,0.03435497418825924,-0.029587458993064385,-0.05587523517558184,-0.41375661375661466,3.3350518774705553,4.216599948736283,1.8188315995118827
رویش,0.12495491468926732,-0.09916179532326322,-0.09999999999999998,-0.5291530821138827,2.7531724309476884,9.867955557780668,5.4611867114639505
آسامید,0.0050992805894552904,-0.0007942957146295893,-0.014341714452495005,-0.09279977051061392,2.7206544362470213,1.508354539686103,0.22023308561645427
نیشکر,0.034692567198368274,-0.035235668645231547,-0.07842538659299335,-0.2425463336019343,2.3597595962960436,3.43625014886705,1.2995843399995368
رشد,0.0033710531379057764,0.0,-0.01778741587584259,-0.03287247413709715,2.2263920658066088,0.920400179398228,0.1191427210058867
اخزا203,0.009082217476233988,-0.012657561339855693,-0.023069964152351363,-0.1166925898189218,2.117599697701644,2.626099015390835,0.3053064881311872
اخزا201,0.006125746236884493,-0.008728341386322253,-0.014184552982930509,-0.06193976335604159,2.0205250958572387,3.0498739575113945,0.19648233979138027
بازبیمه,0.013344604794233323,-0.019843020669107602,-0.025553872244205782,-0.13944954128440418,1.9573119099881136,3.567058046781074,0.4146350638177526
خبرنا,0.028291217796316357,-0.03219311298203844,-0.03403241335725524,-0.22236024844720503,1.863988520196704,6.009503759670039,0.8371343175436117
غگز,0.04977613478579803,-0.04917486247707947,-0.08949973944762896,-0.9575342465753425,1.7966844103648103,1.5613977598774575,1.4196890728776652
اخزا202,0.006460977987711771,-0.009515408094147403,-0.016994769107262716,-0.08593861527480347,1.6920245380922743,2.317196602623325,0.173542235992357
درهآور,0.03244144703153422,-0.044486319910048755,-0.06173467714766988,-0.7013922527618479,1.6319442108216675,2.2084842006610756,0.8404382229728381
موج,0.02815320954180322,-0.03935667584450564,-0.053458608140755794,-0.3748251748251749,1.553402183026977,2.7445185122614335,0.6942439348322357
معین,0.03338752340229025,-0.03569623571882343,-0.06186938397406208,-0.37672052663076033,1.5448864477357098,3.106691042430143,0.81880604307058
خلیج,0.016825807275028408,-0.025319359452347107,-0.03287885547600118,-0.12358554873892301,1.4756297431385388,2.553801416545374,0.3941427849502022
فسدید,0.03967576123850484,-0.04512257405515831,-0.10669306711037162,-0.640743025127963,1.4416159465028004,1.9474303351110593,0.9079775615260525
وشمال,0.03829282322679133,-0.049004695215737054,-0.0860466300768386,-0.8769289827255278,1.382442377922146,2.098076403422365,0.8403586905011374
کابگن,0.04597267546767966,-0.06591772028026774,-0.11313370789226203,-0.651365485183033,1.3817117348431365,1.872850858965938,1.0083643788543708
سامان07,0.016466811593801797,-0.03751830531459284,-0.03753253498014665,-0.07364520611394156,1.3703083817622914,4.652449037203465,0.35820207811970006
مبتکران06,0.012488202809716369,-0.026213592233009696,-0.03249321064001093,-0.03344287647399957,1.3577154609329416,5.554891384825758,0.2691590439549727
سپینود,0.017604104271957764,-0.02488283340374592,-0.0321322820470078,-0.12466555788560271,1.357191913316468,1.8862082029115923,0.3792760907213259
آذرین,0.015163576038813536,-0.02384127239135677,-0.030666642290171735,-0.17545615520825292,1.3264090641972324,2.031943710701852,0.3192856388336035
ثنظام,0.04023932500001,-0.04952161372808031,-0.09943066257480121,-0.8234102439986375,1.3212290793233339,1.9635799403813543,0.8439740259036096
اخزا204,0.014374394915789011,-0.021269700498266896,-0.03954465865086681,-0.0498522167487684,1.2552333080716835,1.582913301247698,0.2864272264218993
وسالت,0.04324739232782978,-0.029280668756530827,-0.03851349862258949,-0.9452406417112299,1.2541808727773882,0.9409373163380291,0.8610341361962797
سباقر,0.03745934002189992,-0.046875,-0.09195732752629387,-0.565540395742553,1.2433138795271286,2.060509539545519,0.7393348427117998
امین شهر,0.013545108391522242,-0.004407843994235405,-0.05183053474330364,-0.12786657400972898,1.205010502652464,1.015087309719951,0.2591036836039115
حرهشا,0.04794446404507013,-0.061300064557779185,-0.0999373755343404,-0.9497718332022029,1.1864513996671722,1.2656333932379846,0.9030019570835774
دهدشت,0.04477802990026288,-0.05265614035087719,-0.11245210727969354,-0.5266129032258069,1.1861508480733647,1.7774244946883135,0.8431506440546538
قنقش,0.032814670185416596,-0.04144497142524031,-0.06967629956971741,-0.7154330903249723,1.1840452484770658,1.876850442492204,0.6167889908388721
ثعتما,0.039822378303703984,-0.04577214928577328,-0.09366867642836633,-0.8791905349737162,1.1786906852117376,1.4200772568595068,0.7451218787180769
کربن,0.028988065210824233,-0.03207209644356727,-0.03917288332818278,-0.3431325301204821,1.1653399356578116,3.839419493156113,0.5362559572650892
وبرق,0.05496916247422098,-0.041041483665093435,-0.08345811876594757,-0.8926504449561266,1.1452741180449324,1.531193817289107,0.9993758181202674
تکپاد,0.013503607319543686,-0.018891844585306995,-0.029437854311135197,-0.15869980879541104,1.1368022080433664,1.931141122609612,0.24368846884240994
پتروآبان,0.018737849407234983,-0.027963314227291914,-0.03479017338217335,-0.18958295392460406,1.1346870464939927,2.153171160337643,0.33751735710396696
لپیام,0.0449069451157071,-0.05157248677248673,-0.12191249999999997,-0.7335383038688188,1.1275225603023193,1.6929582656701287,0.8037833820055625
بتک,0.11640301838327562,-0.02063159111337016,-0.03871994028865082,-0.5576923076923075,1.121279115399852,3.8051426940458577,2.07194510812373
زدشت,0.034374711635668756,-0.048789565621326955,-0.06896661227010102,-0.8644506369426752,1.1043254373074212,2.0132591979259513,0.6026101049732734
دکپسول,0.04405932186271879,-0.04332293387582935,-0.05878398110232132,-0.5968049016892829,1.1026690054297936,1.6802332549346624,0.7712288125623262
کشرق,0.03317220102663461,-0.049979291746037435,-0.06567582188643362,-0.6479647964796482,1.087699984576181,1.9703468669114326,0.5727745085313495
تیام,0.014606264844373431,-0.021454396690504772,-0.030578553399931447,-0.18987341772151903,1.0726662637015905,1.6936345678379423,0.24871619407786158
فالوم,0.048735635715175266,-0.05207939753160522,-0.12066776315789475,-0.798779368575624,1.0583627104499769,1.4072154604599918,0.8188067904957252
وشهر,0.03319202826650117,-0.031178055512296354,-0.045849994526332025,-0.8117283950617284,1.0524061011592958,0.9819629786214766,0.5545202613262256
اخشان,0.03268526222317666,-0.031415907651843544,-0.03540116523936541,-0.2546777546777547,1.048528160277177,3.455538830095202,0.5440418925226531
تکنار,0.0351688344210622,-0.04982474766210257,-0.09561703796235693,-0.7691307787950721,1.0346355440252348,1.6762554448585556,0.5776245451473548
ممسنی,0.04502630328506024,-0.06249449678612309,-0.09974914322187853,-0.5325800376647833,1.0076119637772065,1.6331462279845979,0.7202112121301947
صنم,0.01578220821828037,-0.02570915765582956,-0.03715464118505554,-0.31774763839780507,1.0020807439559474,1.4108145743617584,0.25105608725700473
کازرو,0.04497569405774013,-0.07000819506633252,-0.09992532795156409,-0.6344871387742141,0.9932927679101445,1.5795255950491511,0.7091782666811953
واحصا,0.04114086028774999,-0.04999986697646374,-0.09551128873584062,-0.8541917554423343,0.9678959767574941,1.1984115699499518,0.63212406450513
لازما,0.03915620329554126,-0.05335949266745939,-0.09296159321897952,-0.7129670329670332,0.9607583942570511,1.416675303204562,0.5971934457846539
تبرک,0.028655776970400892,-0.04471332747896141,-0.05568758584162952,-0.8541993281075029,0.9599755404106582,1.6884030017959109,0.43668937607862923
زکشت,0.03470714784813619,-0.05004622496147919,-0.07061984566552265,-0.8215560314061388,0.9537665350534754,1.4107403341145879,0.5254861529363487
وهنر,0.024337160293910153,-0.03034771394953037,-0.042902715290252795,-0.8200039300451957,0.946014155348419,1.983576525758217,0.3654835274180983
سکارون,0.04100346534336076,-0.03357664457187813,-0.05309524274490701,-0.98776299008677,0.943796624813401,0.8887565073350476,0.6143265035775844
