symbol,final_value,total_return,num_trades,status
ثتران,488063.9861560111,47.80639861560111,1943.0,
اوان3,65132.88488878531,5.513288488878531,1898.0,
کیسون,778613.2195671297,76.86132195671297,1786.0,
زنجان,132358.22644345948,12.235822644345948,1741.0,
غمارگ,46745.71954220394,3.6745719542203936,1688.0,
بهپاک,74817.29946661904,6.481729946661903,1936.0,
میهن,962057.5923664981,95.20575923664981,1715.0,
میهن3,962057.5923664981,95.20575923664981,1715.0,
مارون,10000.0,0.0,0.0,
مارون3,10000.0,0.0,0.0,
نیرو,50557.6169831777,4.05576169831777,1817.0,
آینده,99542.41039528127,8.954241039528128,1226.0,
حآسا3,1158517.8507322182,114.85178507322182,2013.0,
تکنار,15278.688332116211,0.527868833211621,1589.0,
قشیر,146071.39563567724,13.607139563567724,1898.0,
بپاس,116887.31236993817,10.688731236993817,1968.0,
بپاس3,116887.31236993817,10.688731236993817,1968.0,
کشرق,83366.78385294272,7.336678385294272,1742.0,
کرمان,269039.9875084831,25.903998750848313,1852.0,
توریل,53502.418888701985,4.350241888870198,1987.0,
توریل3,53502.418888701985,4.350241888870198,1987.0,
سکارون,398435.3451068904,38.84353451068904,908.0,
شمواد,296890.68481624563,28.689068481624563,1274.0,
شپلی,504810.3132089933,49.481031320899326,1388.0,
شپلی2,504810.3132089933,49.481031320899326,1389.0,
دی,1696469.4726653772,168.64694726653772,1026.0,
زنگان,83237.44482104125,7.323744482104125,1931.0,
بمپنا,27972.315461012146,1.7972315461012145,768.0,
واحصا,55636.79014100907,4.563679014100907,1729.0,
واحیا,165607.8077258439,15.560780772584387,1828.0,
وملت,199068.50020559027,18.906850020559027,1765.0,
خکاوه,1501385.2165161248,149.13852165161248,1820.0,
فزرین,44047.202195254955,3.4047202195254958,1931.0,
لکما,728576.8737177611,71.85768737177611,1866.0,
کابگن,775793.4707021932,76.57934707021933,1154.0,
لازما,188315.08637702747,17.831508637702747,1679.0,
لپیام,67183.56495917683,5.718356495917683,1564.0,
ولتجار,113591.52075148729,10.359152075148728,1971.0,
سمایه,165217.21056286068,15.521721056286069,1369.0,
خصدرا,67286.19293833872,5.728619293833872,1784.0,
شفارا,41591.60212184049,3.159160212184049,1705.0,
کهرام,97834.63392336668,8.783463392336667,1708.0,
ثغرب,766856.0752648119,75.68560752648119,1929.0,
شلیا,285338.0022797977,27.533800227979768,906.0,
قشرین,23663.812332077938,1.3663812332077936,1586.0,
لخانه,82281.3506902642,7.22813506902642,1479.0,
وشهر,388292.5306819977,37.82925306819977,1254.0,
شپاس,66682.96868796636,5.668296868796636,1978.0,
شرانل,17013.736422327474,0.7013736422327475,2012.0,
خودرو,11372.539231788563,0.13725392317885632,1996.0,
ممسنی,103682.63809779737,9.368263809779737,1296.0,
سجام,590875.0468448984,58.087504684489836,1999.0,
سنوین,17515.76076014293,0.7515760760142931,1192.0,
بمیلا,919375.078149406,90.9375078149406,1879.0,
سخواف,82937.44013378985,7.293744013378985,1809.0,
نوین,53762.44425373216,4.376244425373216,1846.0,
وسالت,156729.9360733197,14.67299360733197,799.0,
آریان,113145.73498132023,10.314573498132024,1580.0,
وثنو,491460.50771671237,48.146050771671234,1659.0,
سباقر,143858.12605303468,13.385812605303467,1707.0,
شکبیر,14502.733508908274,0.45027335089082743,1492.0,
وشمال,1150162.4548195999,114.01624548195998,1392.0,
آرمان,86558.05068073749,7.655805068073748,1121.0,
سامان,109688.71653724882,9.968871653724882,1428.0,
غشوکو,62869.81088749502,5.286981088749502,1698.0,
ثعتما,495499.12465685117,48.54991246568512,1514.0,
سدبیر,49317.19035486902,3.9317190354869016,1907.0,
قجام,62748.513852972086,5.274851385297208,1733.0,
کازرو,103621.93325581461,9.362193325581462,1253.0,
شلرد,308201.550258121,29.8201550258121,1917.0,
فلات,140143.50911718,13.014350911718,1735.0,
وکادو,248097.0986168196,23.80970986168196,1919.0,
فالوم,671422.9419454266,66.14229419454266,1606.0,
فن آوا,56496.22222940603,4.649622222940603,1703.0,
خفناور,46968.72673486371,3.6968726734863715,1707.0,
فبیرا,1212683.8487575846,120.26838487575846,1566.0,
کقزوی,301921.45485216915,29.192145485216916,1669.0,
وآرین,174440.25210179284,16.444025210179284,1778.0,
وملل,107829.00568518715,9.782900568518714,1310.0,
دهدشت,31154.260622412618,2.1154260622412617,929.0,
ورازی,250334.91513119274,24.033491513119273,1674.0,
سفاسی,367092.37770102674,35.709237770102675,1657.0,
حبندر,274885.52147165383,26.488552147165382,1503.0,
دحاوی,168946.16826350352,15.894616826350351,1432.0,
غشهداب,864857.6632843394,85.48576632843394,1941.0,
قچار,73424.74920162048,6.342474920162048,1866.0,
حرهشا,55015.91468338123,4.501591468338122,1320.0,
شاوان,10830.150480165918,0.08301504801659165,1923.0,
گکیش,38083.72750033576,2.8083727500335756,1669.0,
وتعاون,24714.500935559383,1.4714500935559385,1506.0,
وتعاون3,24714.500935559383,1.4714500935559385,1506.0,
دشیری,10000.0,0.0,0.0,
بساما,92804.03775010827,8.280403775010827,1950.0,
ولراز,39301.01736870921,2.930101736870921,1366.0,
ثنظام,73595.95559045464,6.359595559045465,1395.0,
قنقش,131245.4060942142,12.124540609421421,1372.0,
بایکا,10000.0,0.0,0.0,
قیستو,14453.220505713609,0.4453220505713609,873.0,
فسا,95214.44432074373,8.521444432074373,1693.0,
کباده,30514.40076592596,2.0514400765925958,723.0,
تشتاد,24654.352126925623,1.4654352126925625,1609.0,
معیار,190681.9823296476,18.06819823296476,1221.0,
سلار,72994.08226732026,6.299408226732027,1305.0,
جهرم,118830.64449463511,10.883064449463511,1682.0,
