symbol,آریان,آسامید,اوصتا,اونیکس,بتهران,بجهرم,توریل,توریل3,ثتران,ثغرب,جهرم,حآسا3,خصدرا,خودرو,خکاوه,خکرمان,دامون,دی,زبینا,زقیام,زنجان,سامان,شلرد,شپلی,شپلی2,غشهداب,غویتا,فاخر,فبیرا,لکما,مادیرا,موج,میهن,میهن3,نشان,نوین,وآرین,وتعاون,وتعاون3,ورازی,وشهر,ولشرق,ولشرق3,ومعلم,وملل,وپویا,پاداش,کرمان,کیسون,گکوثر
آریان,1.0,-0.4470133608334286,-0.3761131144813158,-0.9149729645344664,0.07942983781277704,0.48317717368421437,0.7853500632888116,0.7853500632888116,0.3407754749931841,0.39170769331750793,0.6622321667397382,0.5525073137363634,-0.1463671389735319,-0.2047909182077489,-0.09974696082287489,0.34291463761861585,-0.8957187112648021,0.745445791377127,0.5199783467810498,0.5702835206837957,0.884829520442404,0.8730603282221938,0.7317091187463038,0.5231318664739122,0.5224156563871417,0.3927801002648828,0.514612467662152,-0.884734865888013,0.4174944240883647,0.6088839557907005,0.44389489576365904,-0.6673353181242891,0.1731377188198066,0.17312710534174194,-0.8409814157193027,0.8190232457609002,0.6562779919791527,0.6402043870038422,0.6402043870038422,0.5917422013513022,0.2136399168871608,0.5841491394531848,0.5841491394531848,0.5512371090209142,0.8749590182830059,0.6332626352178445,-0.8093462234607346,0.40972203715755656,0.7927602775690178,0.4464187249753851
آسامید,-0.4470133608334286,1.0,0.9905803812530527,0.9585411401612934,0.06888485844026494,-0.4302235842590471,-0.5241039532480422,-0.5241039532480422,0.42098279983696424,0.5000549739923463,-0.5177810603518282,-0.40283206394871873,-0.4671282403103263,-0.3563273232839616,0.7462114983685009,0.1422218844329296,0.9440552990995003,-0.4190119974003213,-0.44396127463961305,-0.6332329957246442,-0.5299575346960547,-0.5099798678380951,0.03157539822865839,-0.44400459061617087,-0.44400459061617087,-0.368808913774423,-0.5826250332819539,0.9674106319229869,-0.3600563783475555,-0.5834352471833022,-0.5590958514336839,0.6051601193392198,0.3796394106982436,0.3795919035418383,0.9893589921089606,-0.5088897670365592,-0.32286786208086493,-0.5741064931735133,-0.5741064931735133,-0.43685230035800493,0.4128957978671706,-0.23241565705451706,-0.23241565705451706,-0.4636797294352139,-0.5369992658180296,-0.5386038446374829,0.9849736057906285,-0.581196159647099,-0.46522608836119783,-0.4157143413019423
اوصتا,-0.3761131144813158,0.9905803812530527,1.0,0.999801273287268,0.1177430466285926,-0.41716866002309666,-0.3374791665519135,-0.3374791665519135,0.5285329059836155,0.6060381076138897,-0.37131185063690747,-0.31171218259462047,-0.516618690827136,-0.3303147885630803,0.7626324485888161,0.26188681872939445,0.9906565751759272,-0.3121412202261048,-0.34018044309541495,-0.5086677858086459,-0.36920494205427484,-0.3751721565244011,0.22702401405502895,-0.27334110522691035,-0.27334110522691035,-0.2989226582926002,-0.49940850611434895,0.9999046304453537,-0.34020946559622794,-0.49250912379636563,-0.49149153355836744,0.6645886150370685,0.4698055413085174,0.46983468816115415,0.9993879222428802,-0.358615004529944,-0.18081119895814154,-0.4654349679658697,-0.4654349679658697,-0.338194585165978,0.4509276519607088,-0.07324301629391594,-0.07324301629391594,-0.43101563599555964,-0.4658912013514041,-0.5307065269780311,0.9944303353083633,-0.4909843073094309,-0.32139015966600437,-0.34270200576226517
اونیکس,-0.9149729645344664,0.9585411401612934,0.999801273287268,1.0,-0.8215752914287133,-0.30739559125601346,-0.05277979402694396,-0.05277979402694396,-0.24514110738897685,-0.5068206341220374,-0.9131223624842526,-0.5566940645656167,-0.27902079298854965,0.48590859636090666,-0.8224533344359752,-0.42366213128213925,0.9905845109550321,-0.7768647736943063,0.1385385214203197,0.5016350373101779,-0.8020021561006692,-0.600772923098749,-0.8066891910727232,-0.46460746152864596,-0.46460746152864596,-0.8444022167104944,-0.6010588614874978,0.9997282339032041,-0.8675026666077117,-0.791143630452706,-0.41230661237167254,0.6560171888465819,-0.7083902330748028,-0.7083902330748028,0.9991256163090089,-0.20450140914217785,0.53346129195384,-0.5829921872378493,-0.5829921872378493,-0.7669454340959218,-0.8574551055745603,-0.8435128067517113,-0.8435128067517113,-0.16852446086872724,-0.7474757739735488,-0.5193763071330374,0.9998006450052923,-0.6987079881358774,0.35538730775036387,-0.47079979659302296
بتهران,0.07942983781277704,0.06888485844026494,0.1177430466285926,-0.8215752914287133,1.0,-0.32039348064235346,-0.23254068107522313,-0.23254068107522313,0.41269736220679526,0.10420363626409021,-0.12039404162688638,-0.05708065690663884,-0.27631871077595316,-0.6423732942994563,-0.3507010822813253,-0.17225221211823422,-0.7341025393973873,-0.05587724008381975,-0.2292056178468313,-0.11115568073599055,-0.23641188197353838,-0.0028161937318971013,-0.2984619018172846,-0.2582435994675507,-0.26171650693801346,0.1933670796020781,-0.5556793794840553,-0.7276650775356271,0.5254646855397285,0.26121002282830896,-0.13985302892855833,-0.12602429891023165,0.7123843373097044,0.7149622572432189,0.10393666602674015,-0.44946967292611795,0.28440523562281617,0.21285566486174876,0.21285566486174876,-0.11092262540460147,0.6320162641565468,0.18905619461652248,0.18905619461652248,0.24224686676853477,-0.38285706811573805,-0.22701290655881418,0.12933020686699837,-0.3570490922859592,0.009353766848268344,0.21012430502450388
بجهرم,0.48317717368421437,-0.4302235842590471,-0.41716866002309666,-0.30739559125601346,-0.32039348064235346,1.0,0.7101292695944316,0.7101292695944316,0.593567031540601,0.30669534083500627,0.8120893305658388,0.8734323322642389,0.303570476685239,0.28135782281719063,-0.13305041624506686,0.7589265364723343,-0.15263621786154566,0.725490748608609,0.8764949573609258,0.7475994179605298,0.5715309031118777,0.797955509630833,0.3194668231504818,0.28836725934356394,0.2881742676695606,0.8882031347527887,0.7848288197942854,-0.3737499593050093,0.8253484543995518,0.8093309339403317,0.8785383177513604,0.49001842650791105,0.2636226704276162,0.26364576945483076,-0.03421664182010355,0.8122690101577124,0.8790956739150799,0.7195492023571814,0.7195492023571814,0.5155976163716792,0.10075205872754153,0.6703203207059268,0.6703203207059268,0.9126640340295443,0.542403175737788,0.6223496445073213,-0.06860114160755942,0.7930261546372852,0.7762661417182585,0.8073643800688249
توریل,0.7853500632888116,-0.5241039532480422,-0.3374791665519135,-0.05277979402694396,-0.23254068107522313,0.7101292695944316,1.0,1.0,0.5678147144232963,0.49387292667928545,0.8237920255301828,0.6904571004693856,0.11926840973841463,0.13176739749874805,-0.01896184790315479,0.4816625633363396,0.057081306105580515,0.7530447047153542,0.7826746016051772,0.8663478461370414,0.9346050708716211,0.912367436330917,0.5877586524394892,0.5941875817043899,0.5933789706922757,0.6160285964301606,0.7514222483006168,-0.13719411193689804,0.14392170435344676,0.8430231265792976,0.6747477840239463,0.5783766143678813,0.2965468703781172,0.2964941222840139,-0.5612823580628173,0.9303979937901747,0.8681345141562171,0.9220958016395304,0.9220958016395304,0.757066679450255,0.19300379278663468,0.7897215986938279,0.7897215986938279,0.7244829390901116,0.8904483509786183,0.7005355228476601,-0.6112105511117703,0.7134906081744017,0.8713841336798376,0.5509032834076172
توریل3,0.7853500632888116,-0.5241039532480422,-0.3374791665519135,-0.05277979402694396,-0.23254068107522313,0.7101292695944316,1.0,1.0,0.5678147144232963,0.49387292667928545,0.8237920255301828,0.6904571004693856,0.11926840973841463,0.13176739749874805,-0.01896184790315479,0.4816625633363396,0.057081306105580515,0.7530447047153542,0.7826746016051772,0.8663478461370414,0.9346050708716211,0.912367436330917,0.5877586524394892,0.5941875817043899,0.5933789706922757,0.6160285964301606,0.7514222483006168,-0.13719411193689804,0.14392170435344676,0.8430231265792976,0.6747477840239463,0.5783766143678813,0.2965468703781172,0.2964941222840139,-0.5612823580628173,0.9303979937901747,0.8681345141562171,0.9220958016395304,0.9220958016395304,0.757066679450255,0.19300379278663468,0.7897215986938279,0.7897215986938279,0.7244829390901116,0.8904483509786183,0.7005355228476601,-0.6112105511117703,0.7134906081744017,0.8713841336798376,0.5509032834076172
ثتران,0.3407754749931841,0.42098279983696424,0.5285329059836155,-0.24514110738897685,0.41269736220679526,0.593567031540601,0.5678147144232963,0.5678147144232963,1.0,0.8720135162250863,0.49480358553161985,0.4899293513525466,-0.05883103749004773,0.09806328687059007,0.6721797863148607,0.8415604364342613,-0.5045416243766156,0.40752987541615243,0.46818157439977126,0.2689561472310164,0.4445751564795615,0.47910222917863443,0.61678142157438,0.14017842483753612,0.14016851281165804,0.4904520018897054,0.2734974996189167,-0.06573882808225257,0.04521838662106336,0.45768685414577054,0.38960107658443777,0.032115770706366974,0.7332475035246724,0.7332514371753822,0.680456664759789,0.4909748392418865,0.7105182674512066,0.4008112902512019,0.4008112902512019,0.17958864214545014,0.6718640186854821,0.6886131367448903,0.6886131367448903,0.48185508501478946,0.35880589238663174,0.26750732317243847,0.6920886972996032,0.3318456953483159,0.47878911599966134,0.3675436384865496
ثغرب,0.39170769331750793,0.5000549739923463,0.6060381076138897,-0.5068206341220374,0.10420363626409021,0.30669534083500627,0.49387292667928545,0.49387292667928545,0.8720135162250863,1.0,0.4029048132037619,0.39719653695089685,-0.2767756531298698,-0.0520214852797105,0.741662870116779,0.7732120827654114,-0.842557346339963,0.42552681630498623,0.32370520422345866,0.15837294430019877,0.4280317491252088,0.3918891363667095,0.7164244757520155,0.2574199374556294,0.2574199374556294,0.19836232035956589,0.20148739191796958,-0.31850392679058276,-0.027990987244119914,0.40545677195970997,0.16720579221622475,-0.47845798158948566,0.7299839166504829,0.7299374118526042,0.2641247276137332,0.387077943679082,0.5889665838208754,0.3136468270412597,0.3136468270412597,0.27690069723049116,0.7896505797305124,0.6285333232844976,0.6285333232844976,0.24781778275924493,0.33827422198703305,0.3973534503094806,0.32073350701414094,0.2031637889874268,0.42870931382612754,0.3043691384409199
جهرم,0.6622321667397382,-0.5177810603518282,-0.37131185063690747,-0.9131223624842526,-0.12039404162688638,0.8120893305658388,0.8237920255301828,0.8237920255301828,0.49480358553161985,0.4029048132037619,1.0,0.8457169616224631,0.23615903632756116,0.2591382354537656,-0.15504571060995592,0.5662939412370359,-0.8400292635670743,0.8462693456560528,0.8851588784677017,0.8648134170064818,0.7674916844726106,0.8769149199580205,0.4008724604852179,0.4138169452704448,0.4132117321176155,0.6533071975452872,0.8895561337374613,-0.8875511838051184,0.2562258430996904,0.922111645882295,0.8767089489502583,-0.298593715904571,0.2289561352665449,0.2289215561776313,-0.36386959057117363,0.8773565105940717,0.880727381129317,0.8905216374197318,0.8905216374197318,0.7933880198458312,0.07736802338732449,0.7656767176331578,0.7656767176331578,0.844278807198384,0.785659338072046,0.8684220030429975,-0.36445792470556043,0.8638208970190489,0.9035695495541956,0.8013791172176786
حآسا3,0.5525073137363634,-0.40283206394871873,-0.31171218259462047,-0.5566940645656167,-0.05708065690663884,0.8734323322642389,0.6904571004693856,0.6904571004693856,0.4899293513525466,0.39719653695089685,0.8457169616224631,1.0,0.20962458720726818,0.2724534444571015,-0.07381973400949032,0.6279855238521223,-0.27129393792882955,0.9227775826303252,0.9578568685631238,0.7753035652063677,0.5976306108080279,0.7891621636986726,0.39976355664631325,0.23405476954982163,0.23357494115401034,0.7239104285432663,0.8902356563569226,-0.6146807625425302,0.2949381726905574,0.8733740033561749,0.8953787585864684,0.3058923694833563,0.22996253909220693,0.2298331121905554,-0.42030649150307164,0.7828736549600239,0.8166209001108264,0.7212204157615895,0.7212204157615895,0.6923349085674846,0.14263274413285598,0.56923784215757,0.56923784215757,0.899474302355557,0.5821996280915224,0.7541221730896958,-0.4520772417354649,0.8502265135603889,0.851753681417344,0.9698574716580113
خصدرا,-0.1463671389735319,-0.4671282403103263,-0.516618690827136,-0.27902079298854965,-0.27631871077595316,0.303570476685239,0.11926840973841463,0.11926840973841463,-0.05883103749004773,-0.2767756531298698,0.23615903632756116,0.20962458720726818,1.0,0.7429929888842404,-0.3576183891654106,-0.1641082787015575,0.045887569002393706,0.002759726956332025,0.3222644553934147,0.31118683814960024,0.03302866451312218,0.11563073417229151,-0.3032874242711273,-0.20414736453089646,-0.20414736453089646,0.3921004920507221,0.38473490961366424,-0.40849735093144307,0.2780277932636457,0.33894753827103896,0.48196159798414645,0.47271651452104146,-0.25998713933861756,-0.26025501399670187,-0.3994370406836703,0.10612830380795389,0.13352548084619098,0.26624695148801697,0.26624695148801697,0.028593617460950717,-0.27056092523957276,0.011316188776731245,0.011316188776731245,0.30939680081222515,0.11418806588358398,0.8272706268466692,-0.3525778167086873,0.48105167303803353,0.06587866671600047,0.21444475825583845
خودرو,-0.2047909182077489,-0.3563273232839616,-0.3303147885630803,0.48590859636090666,-0.6423732942994563,0.28135782281719063,0.13176739749874805,0.13176739749874805,0.09806328687059007,-0.0520214852797105,0.2591382354537656,0.2724534444571015,0.7429929888842404,1.0,-0.12802510767917302,-0.0027921506895316702,0.4679768158110015,0.11401831366759713,0.27044582655497,0.38212867332913775,0.013420960643148952,0.01025101111483287,-0.11015154246226111,0.044705881722309306,0.044683469371453066,0.21208376420220051,0.31070101406589007,0.4593690376819945,0.06103641403358732,0.3586607142009768,0.4503098667635469,0.8959113663021655,-0.04636021647219626,-0.04649445489700793,0.3668998868737535,0.09099492597399758,0.18179339304009157,0.10881335570813085,0.10881335570813085,0.09918214683581598,-0.23159203544224374,0.055306329734798626,0.055306329734798626,0.25433484107882004,-0.12542107637320377,0.40934772764268595,0.3628075240256463,0.49693374753181047,0.1083247354519943,0.2924978033084401
خکاوه,-0.09974696082287489,0.7462114983685009,0.7626324485888161,-0.8224533344359752,-0.3507010822813253,-0.13305041624506686,-0.01896184790315479,-0.01896184790315479,0.6721797863148607,0.741662870116779,-0.15504571060995592,-0.07381973400949032,-0.3576183891654106,-0.12802510767917302,1.0,0.4743214623807825,-0.8284638849038044,-0.18040860802164432,-0.21627929255215475,-0.4243187055158854,-0.05771402468021077,-0.17813353286397232,0.4976567844501349,0.20782247017155903,0.20782247017155903,-0.04747257405002668,-0.3451646584808836,-0.8342623719758936,-0.09571102017951241,-0.11793557801084359,-0.33744100033166546,-0.3597926081704977,0.774249071798384,0.774231548610427,0.011439552486051772,-0.14910902088978686,0.05905258545185005,-0.21495853478476115,-0.21495853478476115,-0.18342323248886308,0.7803871089391988,0.28208967791162187,0.28208967791162187,-0.28610120154564767,-0.2523279614072027,-0.33091312234773856,0.02838918452033043,-0.2649045212551649,-0.12067057007105121,-0.18189469935013894
خکرمان,0.34291463761861585,0.1422218844329296,0.26188681872939445,-0.42366213128213925,-0.17225221211823422,0.7589265364723343,0.4816625633363396,0.4816625633363396,0.8415604364342613,0.7732120827654114,0.5662939412370359,0.6279855238521223,-0.1641082787015575,-0.0027921506895316702,0.4743214623807825,1.0,-0.3952122044805412,0.6312981585152997,0.6185527350281703,0.4053676104376816,0.3777408869670732,0.575931593394991,0.595205790089617,0.2374829753046629,0.2374559313581818,0.5038388898773002,0.4715586005807526,-0.435464978921961,0.18606430303654667,0.4999558836682202,0.530236067681937,0.25693089282903175,0.6370440531129073,0.637033001665821,0.26351332953330014,0.5259820503810342,0.6809914692362629,0.4733798904235869,0.4733798904235869,0.3058315498838056,0.575122614413619,0.68987077873264,0.68987077873264,0.6741555700737826,0.3431836835190416,0.5316738255027825,0.298716226106779,0.4761141557622107,0.5750114422172152,0.5833783917995348
دامون,-0.8957187112648021,0.9440552990995003,0.9906565751759272,0.9905845109550321,-0.7341025393973873,-0.15263621786154566,0.057081306105580515,0.057081306105580515,-0.5045416243766156,-0.842557346339963,-0.8400292635670743,-0.27129393792882955,0.045887569002393706,0.4679768158110015,-0.8284638849038044,-0.3952122044805412,1.0,-0.6841552330267601,0.08728417575389079,0.36215146932825143,-0.9194352016518349,-0.24075259856293613,-0.7084798061796976,-0.09119331838424494,-0.09119331838424494,-0.7007553168116865,-0.4107199099289648,0.991717282151219,-0.7555962347243014,-0.6581152226233508,-0.5123616137956069,0.6795481146507825,-0.47817013644089573,-0.47817013644089573,0.9937351589675124,-0.19790593666329603,0.28390244251001134,-0.350014397019532,-0.350014397019532,-0.6903010051865767,-0.8460519423221122,-0.6915442848739193,-0.6915442848739193,-0.04161919241482328,-0.5088089730823934,-0.5600060875465954,0.9906039130931508,-0.678919435249016,0.5784900913008131,-0.3432817783008045
دی,0.745445791377127,-0.4190119974003213,-0.3121412202261048,-0.7768647736943063,-0.05587724008381975,0.725490748608609,0.7530447047153542,0.7530447047153542,0.40752987541615243,0.42552681630498623,0.8462693456560528,0.9227775826303252,0.002759726956332025,0.11401831366759713,-0.18040860802164432,0.6312981585152997,-0.6841552330267601,1.0,0.8753670766319825,0.7974904171412791,0.7577755198148372,0.8497795996506137,0.5315810372334185,0.24681222695842853,0.24681222695842853,0.4494658041111865,0.8610065906671523,-0.8210495920436207,0.26843348780995613,0.8785112214345859,0.7890006249297206,-0.05820380598937175,0.19807173327728883,0.19807173327728883,-0.20576653820295437,0.787451490584619,0.790490872202486,0.7891580729382833,0.7891580729382833,0.9653908128150752,0.16473936437427927,0.6325126647890891,0.6325126647890891,0.8090545392263366,0.7793717639563474,0.8818110494449148,-0.22209569105245466,0.8314378735104833,0.92211456160066,0.9145448963685513
زبینا,0.5199783467810498,-0.44396127463961305,-0.34018044309541495,0.1385385214203197,-0.2292056178468313,0.8764949573609258,0.7826746016051772,0.7826746016051772,0.46818157439977126,0.32370520422345866,0.8851588784677017,0.9578568685631238,0.3222644553934147,0.27044582655497,-0.21627929255215475,0.6185527350281703,0.08728417575389079,0.8753670766319825,1.0,0.8326011467361542,0.6519195397968053,0.8200159417285856,0.2979110869304484,0.2375268364432518,0.23700503864906927,0.7453301893352674,0.9201668645421205,0.26274713593018484,0.2676677186002146,0.9127993787216465,0.9156393506243292,0.678720338012339,0.16856496766940024,0.1685563645999143,0.5171678064938873,0.822733611854579,0.8859012306042727,0.8224242532169769,0.8224242532169769,0.7287814614304845,0.023394610168332067,0.6406333726569119,0.6406333726569119,0.8999404599393712,0.6533052646911912,0.7705621249483522,0.5178561794027722,0.9237130311597939,0.848183687891474,0.894062648014043
زقیام,0.5702835206837957,-0.6332329957246442,-0.5086677858086459,0.5016350373101779,-0.11115568073599055,0.7475994179605298,0.8663478461370414,0.8663478461370414,0.2689561472310164,0.15837294430019877,0.8648134170064818,0.7753035652063677,0.31118683814960024,0.38212867332913775,-0.4243187055158854,0.4053676104376816,0.36215146932825143,0.7974904171412791,0.8326011467361542,1.0,0.8339079589668239,0.849356302241731,0.13519735213365197,0.3108781039922061,0.31001646919479253,0.6062798164958936,0.8475389526553324,0.5807483146158524,0.20733366383110782,0.9230749973992882,0.8314190943796648,0.8327487031434481,0.04519920332930768,0.04519883652654005,0.789869516758365,0.8671336331007614,0.8394729633345015,0.8876089302383435,0.8876089302383435,0.7648401965048435,-0.1202016468381374,0.67263822889636,0.67263822889636,0.8244744267277374,0.7440080186732801,0.7992136438665433,0.7778084245811204,0.8593530551200498,0.8862937018077724,0.7307354840083986
زنجان,0.884829520442404,-0.5299575346960547,-0.36920494205427484,-0.8020021561006692,-0.23641188197353838,0.5715309031118777,0.9346050708716211,0.9346050708716211,0.4445751564795615,0.4280317491252088,0.7674916844726106,0.5976306108080279,0.03302866451312218,0.013420960643148952,-0.05771402468021077,0.3777408869670732,-0.9194352016518349,0.7577755198148372,0.6519195397968053,0.8339079589668239,1.0,0.8992465709785745,0.5594369886511977,0.5761240728848858,0.5751703324533474,0.490026351269141,0.6492127049410521,-0.8204700023910408,0.11512664119614417,0.7984714511021855,0.5432885578584351,-0.5741876187285946,0.24090798167397978,0.2408519500627111,-0.6840803690650811,0.9031700949876684,0.7990005793837517,0.9067956270673388,0.9067956270673388,0.759044741888897,0.18815129170217462,0.7684055879281633,0.7684055879281633,0.6539136476614927,0.9471920054211441,0.6725236117872998,-0.6621531737392994,0.6133901502141549,0.8605989700451385,0.4742276360973382
سامان,0.8730603282221938,-0.5099798678380951,-0.3751721565244011,-0.600772923098749,-0.0028161937318971013,0.797955509630833,0.912367436330917,0.912367436330917,0.47910222917863443,0.3918891363667095,0.8769149199580205,0.7891621636986726,0.11563073417229151,0.01025101111483287,-0.17813353286397232,0.575931593394991,-0.24075259856293613,0.8497795996506137,0.8200159417285856,0.849356302241731,0.8992465709785745,1.0,0.5578725111549663,0.5108904819800513,0.5102156425627348,0.6689964089608771,0.7980528677189862,-0.6790708572643552,0.2941304944448878,0.8595979464583676,0.7607960510212743,-0.07495716725314283,0.24097010024527113,0.24095736750551297,-0.7074605112402074,0.9593652975145524,0.8836071172940335,0.8927296265630501,0.8927296265630501,0.7190626493544485,0.17559561803615842,0.7806106741746123,0.7806106741746123,0.8584471292098188,0.9067154451102534,0.7868204555859485,-0.7227834656608998,0.7476428398626731,0.9437471281888739,0.7129280746911304
